Unique product ID,Product ID,Category,Sub-Category,Product Name
OFF-EN-10002986--3602148883024123122,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
FUR-BO-10002545-203608947492023612,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
FUR-CH-10004218--6217550177830232994,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray"
TEC-PH-10000486-5315485077140683612,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter
TEC-PH-10004093--616303922433098213,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550
OFF-ST-10003479-435028291948602841,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum"
OFF-ST-10003282--9057892851792647631,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
TEC-AC-10000171--4442940537529358384,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
OFF-BI-10003291-6378663276060198226,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings
OFF-ST-10001713--6757379889897643674,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
TEC-AC-10002167--6599482082677296497,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
TEC-PH-10003988--3528602405808932897,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
OFF-BI-10004410--4258176612451616006,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
OFF-LA-10002762--6828157774485093672,OFF-LA-10002762,Office Supplies,Labels,Avery 485
FUR-FU-10001706--4693693854461678523,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs
FUR-CH-10003061--6775078664865630109,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black"
OFF-FA-10000304--3831575791696195446,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins
TEC-PH-10002447--595125887697515811,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone
OFF-ST-10000604--111056538718825808,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts
OFF-PA-10001569--6794769252497838896,OFF-PA-10001569,Office Supplies,Paper,Xerox 232
FUR-CH-10003968--1146536661270560934,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair
OFF-PA-10000587--8298213518510056749,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors"
OFF-BI-10001460-8559809561741052190,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs
OFF-AR-10001868-3205041326181841406,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks
TEC-AC-10004633-4472919142958682262,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
OFF-BI-10001078-4163889588046202584,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
OFF-PA-10003892-9008714954260814746,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943
FUR-FU-10000397-8851795915239201672,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp
FUR-CH-10001146-7859077442104652234,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray"
OFF-AR-10002671-8235961418036764279,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
TEC-PH-10002726-8016621330249432268,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service
OFF-PA-10000482-480544124899492091,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
OFF-BI-10004654-5669584243758128520,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets
OFF-PA-10004675--6920191381331791087,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
FUR-CH-10000513--6871183121311474685,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair
FUR-FU-10003708--8955034885345108997,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
OFF-ST-10004123-1750280318216619985,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System
OFF-BI-10004182-5407965668644296557,OFF-BI-10004182,Office Supplies,Binders,Economy Binders
FUR-FU-10000260-7695236499843098,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black"
OFF-ST-10000615--3775638482568199457,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"
FUR-FU-10003194-5840412949924328314,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
OFF-AP-10002118-667227979414968015,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
OFF-BI-10002309--7975560141529247483,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings
OFF-AR-10002053-8372383060893249163,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind"
OFF-ST-10002370-6714295261173185941,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black"
OFF-EN-10000927-831384027206582323,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers
OFF-ST-10003656--5493393861671237166,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving
FUR-CH-10000863--7321904970882345991,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair
TEC-AC-10001998--8085086800590654768,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired
OFF-LA-10000134--6121089116249003557,OFF-LA-10000134,Office Supplies,Labels,Avery 511
OFF-ST-10003442-8654750758632045477,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager
OFF-AR-10004930-3289025021180619185,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip
OFF-PA-10000304--1318745588785661577,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995
OFF-PA-10003177-6956250541807695179,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999
FUR-FU-10003799--3165771494002168164,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock"
OFF-BI-10002852--1886093926257654421,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers
OFF-BI-10004738--7280602052124630258,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder
FUR-FU-10000629-2271389378721193450,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock
OFF-BI-10001721--7609856629068344389,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders
OFF-AP-10000358-6569975621858575352,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors
OFF-PA-10003256--8593262951620343359,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards
TEC-AC-10001767-8496315763570694675,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card
OFF-BI-10002609--838989348545871558,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems
OFF-PA-10004040-5359927180226244563,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)
TEC-AC-10001552-1911192086901922808,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard
FUR-FU-10004006--9000995068856059929,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting"
OFF-BI-10002794-581278183174469737,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets"
TEC-AC-10003499--2526247858317764862,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive
TEC-PH-10002844-8984866455287164420,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case
OFF-AR-10000390--8235031409737743382,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder
TEC-AC-10000844-8330275710532018632,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard
FUR-FU-10001934-8810377828895378680,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp
OFF-AR-10000380-9052679186182391501,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue"
OFF-BI-10003981-5749112439354566662,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders"
OFF-FA-10000621-3590407717432240737,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes"
OFF-EN-10002600--2724625153933731730,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2"
OFF-PA-10004965-8807849279166367307,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921
OFF-EN-10002504-7893144440455588934,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White"
FUR-TA-10001768-4901794769371097116,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables
OFF-BI-10003650-2630542938491172892,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine
FUR-FU-10002157--6883375003427601292,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque
OFF-ST-10000777-9020771338639950720,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black"
OFF-EN-10002500--5046857140793148330,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes
TEC-PH-10003875--686015987355871369,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7
FUR-CH-10004063--1746450288518900146,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
FUR-TA-10004534-6642357041674512667,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables
OFF-BI-10003274--6281508796186482272,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels"
OFF-ST-10002974--7859575115007526671,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black"
FUR-CH-10001146--1953400269844798967,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black"
FUR-FU-10003773--2034607727090337085,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets
TEC-PH-10002293--5429878234609393951,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5
OFF-PA-10002377--7515505245394189012,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916
OFF-FA-10002780--2750901894937266039,OFF-FA-10002780,Office Supplies,Fasteners,Staples
OFF-PA-10001804-5875178031379506589,OFF-PA-10001804,Office Supplies,Paper,Xerox 195
OFF-PA-10001736--4236521032070489018,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880
OFF-AR-10001149--5639102107843977929,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box"
OFF-FA-10002988--8040506393440369764,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps
OFF-BI-10004781-8507526680347724623,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips
OFF-SU-10001218--758644267906660416,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors
OFF-AR-10000940--1917313518591719100,OFF-AR-10000940,Office Supplies,Art,Newell 343
OFF-EN-10004030-7031485746413440846,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes
OFF-PA-10004327-8986024151561989096,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911
OFF-AP-10001058--5602904411772534285,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators
FUR-FU-10000521--1121739457875308688,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock"
TEC-PH-10000215-1867939557852164993,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C
TEC-PH-10001448--3956029371809135101,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger
OFF-BI-10002735-3606679730538981878,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers
OFF-AP-10000326-6002685621898404433,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection
TEC-PH-10001254-927982915134515978,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset
OFF-PA-10001950-2697246819980094695,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes
OFF-PA-10002254--7610911721799725075,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883
OFF-ST-10001590--8362143021034992,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black"
OFF-AR-10001547-1802617807236006884,OFF-AR-10001547,Office Supplies,Art,Newell 311
OFF-LA-10002475-8214030675600954762,OFF-LA-10002475,Office Supplies,Labels,Avery 519
TEC-PH-10004536--2693794682267942744,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone
OFF-PA-10002751-2471822910996996180,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920
TEC-AC-10003657-4151570839954317863,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad
OFF-EN-10001990-592934926399069147,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope
OFF-BI-10004002--8306387611940004221,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders
OFF-AR-10004441-3362803965173079164,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters
TEC-MA-10000822--3781513846085785404,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer
OFF-ST-10000991-2439745818966247543,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.
FUR-CH-10004287--3623804865183722033,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair
OFF-AR-10002656-8323059481958975597,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters
OFF-AP-10002518--5843324262043322438,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center
TEC-PH-10003931--1026506071346367181,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker
OFF-PA-10000659-7243448439396469328,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”"
OFF-PA-10001144--6209038625156562447,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913
FUR-CH-10003817-1903944286887423906,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray"
OFF-AP-10000891-441290141135963781,OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center
OFF-LA-10003148--6753990659665318723,OFF-LA-10003148,Office Supplies,Labels,Avery 51
OFF-AP-10002684-4380245698481402475,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
FUR-CH-10004698-5848677721522867775,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton"
OFF-SU-10002189-788143330974597679,OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener
OFF-AR-10001940--6456599839704548117,OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count"
OFF-ST-10003455-7552011662123852803,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black"
TEC-AC-10004659--2477777113033035391,TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB
TEC-PH-10003273-2973102321415947877,TEC-PH-10003273,Technology,Phones,AT&T TR1909W
TEC-PH-10004896-3926931615206684856,TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile)
TEC-AC-10002345--5709786720245020648,TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard
OFF-BI-10001890-9010983440166029550,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets
TEC-AC-10002323--1710980390086943829,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card
OFF-ST-10001328-7319621024207803882,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray"
FUR-BO-10002613--4834353352590559845,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
TEC-PH-10001552-196716653274903075,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink
OFF-PA-10000061--394391458704724716,OFF-PA-10000061,Office Supplies,Paper,Xerox 205
OFF-AR-10003514-6985410148998212517,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford
OFF-AR-10004685-1137959068073875738,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
OFF-AR-10004027-5730457939847073385,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"
OFF-ST-10001414-6853054938870300524,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File
OFF-BI-10000343--2574809002706237700,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue"
OFF-PA-10002749-4052272376857910919,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page"
OFF-PA-10002666--7466315044362957036,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes
FUR-TA-10004289-6132158215420723267,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables
OFF-AP-10003622-3165885643295185349,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack"
OFF-AP-10003217--5876184423730610816,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright
FUR-FU-10002960--3831524431033284189,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy"
TEC-PH-10001918--3421591795711717070,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone
OFF-ST-10000642-4642300884994218691,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray"
TEC-PH-10001700-3454795340060050819,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone
OFF-FA-10000134--633611624461869941,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head"
OFF-ST-10001522--8372483113465912514,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h"
TEC-AC-10001266--4251670436293751786,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB
OFF-LA-10004544--8978606595349573201,OFF-LA-10004544,Office Supplies,Labels,Avery 505
FUR-BO-10004695--391457696570122243,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine
TEC-MA-10000864-8850872343483766034,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal
TEC-AC-10000109-6328228729065704626,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive
TEC-PH-10002563-1094091212286398952,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1
OFF-FA-10000585-3056882555044706366,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips
OFF-PA-10004000-4049209977766722844,OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle"
FUR-FU-10000087-1770358798853464244,FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock"
TEC-MA-10001148-8515555558932963699,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder
OFF-AR-10001958-2066018271092148993,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners
OFF-AR-10001026-613302788290081107,OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow"
FUR-TA-10003748-2232517048142126949,FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables
OFF-ST-10002485-639569675878883769,OFF-ST-10002485,Office Supplies,Storage,Rogers Deluxe File Chest
FUR-CH-10004860--6480148504593155522,FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair
FUR-CH-10004477--6796737352054102692,FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo"
OFF-BI-10001679--4057214253464719209,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems
FUR-TA-10001705-1698909714675088415,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table
FUR-TA-10003473-8619494942901544729,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops
FUR-FU-10004017-2513617016496860994,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49"""
TEC-AC-10003832-508817704806738025,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone
